org.springframework.jdbc.datasource.DataSourceTransactionManager.doGetTransaction(ms) :18
org.springframework.data.redis.connection.jedis.JedisConnectionFactory.fetchJedisConnector(ms) :39
org.springframework.data.redis.connection.jedis.JedisConnection.<clinit>(ms) :5
org.springframework.data.redis.connection.jedis.JedisConnectionFactory.getConnection(ms) :45
org.springframework.data.redis.connection.jedis.JedisConnectionFactory.getConnection(ms) :45
org.springframework.data.redis.core.RedisConnectionUtils.doGetConnection(ms) :46
org.springframework.data.redis.core.RedisConnectionUtils.getConnection(ms) :46
org.springframework.data.redis.core.RedisConnectionUtils.getConnection(ms) :46
org.springframework.data.redis.connection.DefaultStringRedisConnection.<init>(ms) :6
org.springframework.data.redis.core.StringRedisTemplate.preProcessConnection(ms) :33
org.springframework.data.redis.core.RedisTemplate.createRedisConnectionProxy(ms) :97
org.springframework.data.redis.core.RedisTemplate.execute(ms) :185
org.springframework.data.redis.core.RedisTemplate.execute(ms) :185
org.springframework.data.redis.core.RedisTemplate.execute(ms) :185
org.springframework.data.redis.core.RedisTemplate.execute(ms) :3
org.springframework.data.redis.core.RedisTemplate.execute(ms) :3
org.springframework.data.redis.core.RedisTemplate.execute(ms) :3
org.mybatis.spring.transaction.SpringManagedTransactionFactory.newTransaction(ms) :2
org.mybatis.spring.SqlSessionUtils.getSqlSession(ms) :26
com.alibaba.druid.sql.visitor.ParameterizedOutputVisitorUtils.parameterize(ms) :2
com.alibaba.druid.filter.stat.StatFilter.mergeSql(ms) :2
com.alibaba.druid.filter.stat.StatFilter.createSqlStat(ms) :2
com.alibaba.druid.support.http.AbstractWebStatImpl$WebStatFilterContextListener.executeBefore(ms) :3
com.alibaba.druid.filter.stat.StatFilterContext.executeBefore(ms) :3
com.alibaba.druid.filter.stat.StatFilter.internalBeforeStatementExecute(ms) :6
com.alibaba.druid.filter.stat.StatFilter.statementExecuteQueryBefore(ms) :6
com.alibaba.druid.filter.FilterEventAdapter.statement_executeQuery(ms) :4
com.alibaba.druid.filter.FilterChainImpl.statement_executeQuery(ms) :4
com.alibaba.druid.filter.FilterAdapter.statement_executeQuery(ms) :4
com.alibaba.druid.filter.FilterEventAdapter.statement_executeQuery(ms) :12
com.alibaba.druid.filter.FilterChainImpl.statement_executeQuery(ms) :12
com.alibaba.druid.proxy.jdbc.StatementProxyImpl.executeQuery(ms) :12
com.alibaba.druid.pool.DruidAbstractDataSource.testConnectionInternal(ms) :15
com.alibaba.druid.pool.DruidDataSource.getConnectionDirect(ms) :17
com.alibaba.druid.filter.FilterChainImpl.dataSource_connect(ms) :17
com.alibaba.druid.filter.logging.LogFilter.dataSource_getConnection(ms) :19
com.alibaba.druid.filter.FilterChainImpl.dataSource_connect(ms) :19
com.alibaba.druid.filter.stat.StatFilter.dataSource_getConnection(ms) :19
com.alibaba.druid.filter.FilterChainImpl.dataSource_connect(ms) :19
com.alibaba.druid.pool.DruidDataSource.getConnection(ms) :19
com.alibaba.druid.pool.DruidDataSource.getConnection(ms) :19
com.alibaba.druid.pool.DruidDataSource.getConnection(ms) :19
org.springframework.jdbc.datasource.ConnectionHolder.<init>(ms) :3
org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection(ms) :31
org.springframework.jdbc.datasource.DataSourceUtils.getConnection(ms) :31
org.mybatis.spring.transaction.SpringManagedTransaction.openConnection(ms) :41
org.mybatis.spring.transaction.SpringManagedTransaction.getConnection(ms) :41
com.alibaba.druid.filter.FilterChainImpl.wrap(ms) :11
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :22
com.alibaba.druid.filter.FilterAdapter.connection_prepareStatement(ms) :22
com.alibaba.druid.filter.FilterEventAdapter.connection_prepareStatement(ms) :22
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :22
com.alibaba.druid.filter.FilterAdapter.connection_prepareStatement(ms) :22
com.alibaba.druid.sql.parser.SQLExprParser.parseSelectItem(ms) :2
com.alibaba.druid.sql.parser.SQLSelectParser.parseSelectList(ms) :3
com.alibaba.druid.sql.parser.SQLExprParser.dotRest(ms) :2
com.alibaba.druid.sql.parser.SQLExprParser.primaryRest(ms) :6
com.alibaba.druid.sql.dialect.mysql.parser.MySqlExprParser.primaryRest(ms) :6
com.alibaba.druid.sql.parser.SQLExprParser.primary(ms) :6
com.alibaba.druid.sql.dialect.mysql.parser.MySqlExprParser.primary(ms) :6
com.alibaba.druid.sql.parser.SQLExprParser.expr(ms) :6
com.alibaba.druid.sql.parser.SQLSelectParser.expr(ms) :6
com.alibaba.druid.sql.parser.SQLSelectParser.parseTableSourceQueryTableExpr(ms) :6
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.parseTableSource(ms) :13
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.parseFrom(ms) :13
com.alibaba.druid.sql.parser.SQLExprParser.primary(ms) :2
com.alibaba.druid.sql.dialect.mysql.parser.MySqlExprParser.primary(ms) :2
com.alibaba.druid.sql.parser.SQLExprParser.bitXor(ms) :2
com.alibaba.druid.sql.parser.SQLExprParser.multiplicative(ms) :2
com.alibaba.druid.sql.parser.SQLExprParser.additive(ms) :3
com.alibaba.druid.sql.parser.SQLExprParser.shift(ms) :3
com.alibaba.druid.sql.parser.SQLExprParser.bitAnd(ms) :3
com.alibaba.druid.sql.parser.SQLExprParser.bitOr(ms) :3
com.alibaba.druid.sql.parser.SQLExprParser.equalityRest(ms) :11
com.alibaba.druid.sql.parser.SQLExprParser.exprRest(ms) :12
com.alibaba.druid.sql.parser.SQLExprParser.expr(ms) :12
com.alibaba.druid.sql.parser.SQLSelectParser.expr(ms) :12
com.alibaba.druid.sql.parser.SQLSelectParser.parseWhere(ms) :12
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.query(ms) :29
com.alibaba.druid.sql.parser.SQLSelectParser.select(ms) :29
com.alibaba.druid.sql.dialect.mysql.parser.MySqlStatementParser.parseSelect(ms) :29
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :29
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :29
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :29
com.alibaba.druid.sql.visitor.ParameterizedOutputVisitorUtils.parameterize(ms) :30
com.alibaba.druid.filter.stat.StatFilter.mergeSql(ms) :30
com.alibaba.druid.filter.stat.StatFilter.createSqlStat(ms) :31
com.alibaba.druid.filter.stat.StatFilter.statementPrepareAfter(ms) :31
com.alibaba.druid.filter.FilterEventAdapter.connection_prepareStatement(ms) :53
com.alibaba.druid.filter.FilterChainImpl.connection_prepareStatement(ms) :53
com.alibaba.druid.proxy.jdbc.ConnectionProxyImpl.prepareStatement(ms) :53
com.alibaba.druid.pool.DruidPooledConnection.prepareStatement(ms) :62
com.alibaba.druid.sql.dialect.mysql.parser.MySqlSelectParser.query(ms) :2
com.alibaba.druid.sql.parser.SQLSelectParser.select(ms) :2
com.alibaba.druid.sql.dialect.mysql.parser.MySqlStatementParser.parseSelect(ms) :2
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :2
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :2
com.alibaba.druid.sql.parser.SQLStatementParser.parseStatementList(ms) :2
com.alibaba.druid.sql.dialect.mysql.visitor.MySqlOutputVisitor.visit(ms) :7
