org.springframework.data.redis.core.RedisConnectionUtils.doGetConnection(ms) :125
org.springframework.data.redis.core.RedisConnectionUtils.getConnection(ms) :127
org.springframework.data.redis.core.RedisConnectionUtils.getConnection(ms) :127
org.springframework.data.redis.connection.DefaultStringRedisConnection.<init>(ms) :13
org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ms) :557
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :557
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :557
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :557
org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ms) :5
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :5
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :5
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :5
org.mybatis.spring.SqlSessionUtils.getSqlSession(ms) :77
org.springframework.jdbc.datasource.DataSourceUtils.doGetConnection(ms) :94
org.springframework.jdbc.datasource.DataSourceUtils.getConnection(ms) :94
org.mybatis.spring.transaction.SpringManagedTransaction.openConnection(ms) :122
org.mybatis.spring.transaction.SpringManagedTransaction.getConnection(ms) :122
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.createParameter(ms) :3
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.setLong(ms) :3
com.alibaba.druid.pool.DruidPooledPreparedStatement.setLong(ms) :3
com.alibaba.druid.sql.ast.expr.SQLVariantRefExpr.accept0(ms) :3
com.alibaba.druid.sql.ast.expr.SQLBinaryOpExpr.accept0(ms) :3
com.alibaba.druid.sql.ast.expr.SQLBinaryOpExpr.accept0(ms) :9
com.alibaba.druid.sql.ast.expr.SQLBinaryOpExpr.accept0(ms) :13
com.alibaba.druid.sql.SQLUtils.toSQLString(ms) :13
com.alibaba.druid.sql.SQLUtils.toSQLString(ms) :13
com.alibaba.druid.sql.SQLUtils.format(ms) :14
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :349
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :349
com.alibaba.druid.pool.DruidPooledStatement.getResultSet(ms) :35
com.alibaba.druid.pool.DruidPooledResultSet.next(ms) :8
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.createParemeter(ms) :2
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.setInt(ms) :2
com.alibaba.druid.pool.DruidPooledPreparedStatement.setInt(ms) :2
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :4
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :4
org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ms) :1536
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :1536
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :1567
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :1569
org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ms) :3
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :3
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :3
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :3
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :3
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :3
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :2
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :2
org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ms) :26
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :26
org.mybatis.spring.SqlSessionUtils$SqlSessionSynchronization.beforeCompletion(ms) :11
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :38
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :38
org.mybatis.spring.SqlSessionUtils.getSqlSession(ms) :2
org.mybatis.spring.transaction.SpringManagedTransaction.openConnection(ms) :2
org.mybatis.spring.transaction.SpringManagedTransaction.getConnection(ms) :2
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :90
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :90
com.alibaba.druid.pool.DruidPooledStatement.getResultSet(ms) :3
com.alibaba.druid.pool.DruidPooledResultSet.next(ms) :28
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :3
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :3
org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ms) :302
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :302
org.mybatis.spring.SqlSessionUtils$SqlSessionSynchronization.beforeCompletion(ms) :287
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :590
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :590
org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ms) :2
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :2
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :2
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :2
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :490
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :490
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :3
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :3
org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ms) :512
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :512
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :514
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :514
org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ms) :2
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :2
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :2
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :2
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :3
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :3
com.alibaba.druid.pool.DruidPooledStatement.getResultSet(ms) :43
com.alibaba.druid.proxy.jdbc.PreparedStatementProxyImpl.execute(ms) :2
com.alibaba.druid.pool.DruidPooledPreparedStatement.execute(ms) :3
org.springframework.aop.framework.ReflectiveMethodInvocation.invokeJoinpoint(ms) :92
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :92
org.springframework.aop.framework.ReflectiveMethodInvocation.proceed(ms) :93
