org.apache.ibatis.binding.MapperMethod$MethodSignature.<init>(ms) :11
org.apache.ibatis.binding.MapperMethod.<init>(ms) :20
org.apache.ibatis.executor.BaseExecutor.<clinit>(ms) :13
org.apache.ibatis.executor.BaseExecutor.<init>(ms) :2
org.apache.ibatis.executor.CachingExecutor.<init>(ms) :3
org.mybatis.spring.SqlSessionUtils.registerSessionHolder(ms) :18
org.mybatis.spring.SqlSessionUtils.getSqlSession(ms) :87
org.apache.ibatis.reflection.wrapper.BeanWrapper.<init>(ms) :4
org.apache.ibatis.ognl.OgnlContext.<clinit>(ms) :9
org.apache.ibatis.ognl.Ognl.createDefaultContext(ms) :53
org.apache.ibatis.ognl.OgnlParser.<init>(ms) :50
org.apache.ibatis.ognl.OgnlParserTokenManager.getNextToken(ms) :2
org.apache.ibatis.ognl.OgnlParser.jj_ntk(ms) :2
org.apache.ibatis.ognl.OgnlParser.propertyName(ms) :24
org.apache.ibatis.ognl.OgnlParser.primaryExpression(ms) :25
org.apache.ibatis.ognl.OgnlParser.navigationChain(ms) :25
org.apache.ibatis.ognl.OgnlParser.unaryExpression(ms) :27
org.apache.ibatis.ognl.OgnlParser.multiplicativeExpression(ms) :28
org.apache.ibatis.ognl.OgnlParser.additiveExpression(ms) :28
org.apache.ibatis.ognl.OgnlParser.shiftExpression(ms) :28
org.apache.ibatis.ognl.OgnlParser.relationalExpression(ms) :28
org.apache.ibatis.ognl.OgnlParser.equalityExpression(ms) :28
org.apache.ibatis.ognl.OgnlParser.andExpression(ms) :28
org.apache.ibatis.ognl.OgnlParser.exclusiveOrExpression(ms) :28
org.apache.ibatis.ognl.OgnlParser.inclusiveOrExpression(ms) :28
org.apache.ibatis.ognl.OgnlParser.logicalAndExpression(ms) :28
org.apache.ibatis.ognl.OgnlParser.logicalOrExpression(ms) :28
org.apache.ibatis.ognl.OgnlParser.conditionalTestExpression(ms) :28
org.apache.ibatis.ognl.OgnlParser.assignmentExpression(ms) :28
org.apache.ibatis.ognl.OgnlParser.expression(ms) :28
org.apache.ibatis.ognl.OgnlParser.topLevelExpression(ms) :28
org.apache.ibatis.ognl.Ognl.parseExpression(ms) :473
org.apache.ibatis.scripting.xmltags.OgnlCache.parseExpression(ms) :473
org.apache.ibatis.scripting.xmltags.OgnlCache.getValue(ms) :545
org.apache.ibatis.ognl.OgnlParser.equalityExpression(ms) :18
org.apache.ibatis.ognl.OgnlParser.andExpression(ms) :18
org.apache.ibatis.ognl.OgnlParser.exclusiveOrExpression(ms) :18
org.apache.ibatis.ognl.OgnlParser.inclusiveOrExpression(ms) :18
org.apache.ibatis.ognl.OgnlParser.logicalAndExpression(ms) :18
org.apache.ibatis.ognl.OgnlParser.logicalOrExpression(ms) :18
org.apache.ibatis.ognl.OgnlParser.conditionalTestExpression(ms) :18
org.apache.ibatis.ognl.OgnlParser.assignmentExpression(ms) :18
org.apache.ibatis.ognl.OgnlParser.expression(ms) :18
org.apache.ibatis.ognl.OgnlParser.topLevelExpression(ms) :18
org.apache.ibatis.ognl.Ognl.parseExpression(ms) :18
org.apache.ibatis.scripting.xmltags.OgnlCache.parseExpression(ms) :18
org.apache.ibatis.ognl.ASTNotEq.getValueBody(ms) :54
org.apache.ibatis.ognl.SimpleNode.evaluateGetValueBody(ms) :54
org.apache.ibatis.ognl.SimpleNode.getValue(ms) :55
org.apache.ibatis.ognl.Ognl.getValue(ms) :55
org.apache.ibatis.ognl.Ognl.getValue(ms) :55
org.apache.ibatis.scripting.xmltags.OgnlCache.getValue(ms) :74
